ts,prn,S4c,ROTI,VTEC,STEC,station
2026-03-01T03:00:54Z,R04,,,,0.0,CM01
2026-03-01T03:00:54Z,R05,,,,15.012168817852919,CM01
2026-03-01T03:00:54Z,R06,,,,55.380097221565904,CM01
2026-03-01T03:00:54Z,R15,,,,4.3453003448297345,CM01
2026-03-01T03:00:54Z,R16,,,,20.949448817841553,CM01
2026-03-01T03:00:54Z,R17,,,,0.0,CM01
2026-03-01T03:00:54Z,R18,,,,60.49419309172526,CM01
2026-03-01T03:04:54Z,R04,,,,0.0,CM01
2026-03-01T03:04:54Z,R05,,,,14.265647151676063,CM01
2026-03-01T03:04:54Z,R06,,,,36.13091154969569,CM01
2026-03-01T03:04:54Z,R15,,,,0.0,CM01
2026-03-01T03:04:54Z,R16,,,,21.787426798144136,CM01
2026-03-01T03:04:54Z,R17,,,,13.858862910958981,CM01
2026-03-01T03:04:54Z,R18,,,,77.58340872510514,CM01
