UTC(HH:MM:SS),PRN,El(deg),C/N0(dB-Hz),S4c,STEC(TECU),ROTI(TECU/min),VTEC(TECU),raw_P1(m),raw_P2(m)
06:51:31,G09,56.0,47.0,nan,122.99,nan,68.78,47657.280,47670.200
06:51:31,G02,36.4,45.0,nan,91.96,nan,74.02,279068.500,279078.160
06:51:31,G04,62.3,47.0,nan,99.19,nan,46.11,252735.380,252745.800
06:51:31,G08,67.0,48.0,nan,121.85,nan,47.61,40250.300,40263.100
06:51:32,G09,56.0,45.0,nan,122.99,nan,68.78,47584.020,47596.940
06:51:32,G02,36.4,44.0,nan,92.15,nan,74.17,278722.720,278732.400
06:51:32,G04,62.3,45.0,nan,99.39,nan,46.20,253061.060,253071.500
06:51:32,G08,67.0,47.0,nan,121.66,nan,47.54,40545.480,40558.260
06:51:33,G09,56.0,45.0,nan,122.99,nan,68.78,47510.880,47523.800
06:51:33,G02,36.4,43.0,nan,92.34,nan,74.32,278377.020,278386.720
06:51:33,G04,62.3,45.0,nan,99.39,nan,46.20,253386.860,253397.300
06:51:33,G08,67.0,46.0,nan,121.85,nan,47.61,40840.740,40853.540
06:51:34,G09,56.0,48.0,nan,122.80,nan,68.67,47437.900,47450.800
06:51:34,G02,36.4,46.0,nan,92.34,nan,74.32,278031.400,278041.100
06:51:34,G04,62.2,48.0,nan,99.39,nan,46.35,253712.800,253723.240
06:51:34,G08,67.0,49.0,nan,121.85,nan,47.61,41136.140,41148.940
06:51:35,G09,56.0,47.0,nan,122.99,nan,68.78,47365.040,47377.960
06:51:35,G02,36.4,45.0,nan,92.53,nan,74.48,277685.840,277695.560
06:51:35,G04,62.2,47.0,nan,99.39,nan,46.35,254038.840,254049.280
06:51:35,G08,67.0,48.0,nan,122.04,nan,47.69,41431.640,41444.460
06:51:36,G09,56.0,45.0,nan,122.99,nan,68.78,47292.280,47305.200
06:51:36,G02,36.4,43.0,nan,92.72,nan,74.63,277340.340,277350.080
06:51:36,G04,62.2,45.0,nan,99.58,nan,46.44,254364.980,254375.440
06:51:36,G08,67.0,46.0,nan,122.04,nan,47.69,41727.260,41740.080
06:51:37,G09,56.0,43.0,nan,123.18,nan,68.88,47219.640,47232.580
06:51:37,G02,36.4,41.0,nan,92.72,nan,74.63,276994.900,277004.640
06:51:37,G04,62.2,43.0,nan,99.58,nan,46.44,254691.220,254701.680
06:51:37,G08,67.0,44.0,nan,122.04,nan,47.69,42022.980,42035.800
06:51:38,G09,56.0,42.0,nan,123.18,nan,68.88,47147.120,47160.060
06:51:38,G02,36.4,41.0,nan,92.91,nan,74.78,276649.500,276659.260
06:51:38,G04,62.2,42.0,nan,99.58,nan,46.44,255017.560,255028.020
06:51:38,G08,66.9,43.0,nan,122.23,nan,47.96,42318.780,42331.620
06:51:39,G09,56.0,41.0,nan,122.99,nan,68.78,47074.720,47087.640
06:51:39,G02,36.4,40.0,nan,92.72,nan,74.63,276304.140,276313.880
06:51:39,G04,62.2,41.0,nan,99.58,nan,46.44,255344.000,255354.460
06:51:39,G08,66.9,42.0,nan,122.23,nan,47.96,42614.680,42627.520
06:51:40,G09,56.0,42.0,nan,123.18,nan,68.88,47002.400,47015.340
06:51:40,G02,36.4,41.0,nan,92.53,nan,74.48,275958.860,275968.580
06:51:40,G04,62.2,42.0,nan,99.77,nan,46.53,255670.500,255680.980
06:51:40,G08,66.9,43.0,nan,122.23,nan,47.96,42910.680,42923.520
06:51:41,G09,56.0,42.0,nan,123.18,nan,68.88,46930.000,46942.940
06:51:41,G02,36.5,41.0,nan,92.53,nan,74.38,275613.400,275623.120
06:51:41,G04,62.2,42.0,nan,99.39,nan,46.35,255996.940,256007.380
06:51:41,G08,66.9,43.0,nan,122.42,nan,48.03,43206.560,43219.420
06:51:42,G09,56.0,45.0,nan,123.37,nan,68.99,46857.780,46870.740
06:51:42,G02,36.5,43.0,nan,92.53,nan,74.38,275268.060,275277.780
06:51:42,G04,62.2,45.0,nan,99.58,nan,46.44,256323.520,256333.980
06:51:42,G08,66.9,46.0,nan,122.42,nan,48.03,43502.620,43515.480
06:51:43,G09,56.0,44.0,nan,123.37,nan,68.99,46785.800,46798.760
06:51:43,G02,36.5,43.0,nan,92.53,nan,74.38,274922.900,274932.620
06:51:43,G04,62.2,44.0,nan,99.58,nan,46.44,256650.320,256660.780
06:51:43,G08,66.9,45.0,nan,122.61,nan,48.11,43798.900,43811.780
06:51:44,G09,56.0,43.0,nan,123.56,nan,69.10,46713.960,46726.940
06:51:44,G02,36.5,41.0,nan,92.53,nan,74.38,274577.840,274587.560
06:51:44,G04,62.2,43.0,nan,99.58,nan,46.44,256977.280,256987.740
06:51:44,G08,66.9,44.0,nan,122.61,nan,48.11,44095.320,44108.200
06:51:45,G09,56.0,47.0,0.045,123.37,nan,68.99,46642.340,46655.300
06:51:45,G02,36.5,46.0,0.042,92.53,nan,74.38,274232.880,274242.600
06:51:45,G04,62.2,47.0,0.045,99.77,nan,46.53,257304.380,257314.860
06:51:45,G08,66.9,48.0,0.044,122.80,nan,48.18,44391.900,44404.800
06:51:46,G09,56.0,46.0,0.045,123.37,nan,68.99,46570.820,46583.780
06:51:46,G02,36.5,44.0,0.042,92.72,nan,74.53,273887.960,273897.700
06:51:46,G04,62.2,46.0,0.045,99.77,nan,46.53,257631.580,257642.060
06:51:46,G08,66.9,47.0,0.044,122.99,nan,48.26,44688.580,44701.500
06:51:47,G09,56.0,41.0,0.047,123.37,nan,68.99,46499.220,46512.180
06:51:47,G02,36.5,39.0,0.046,93.10,nan,74.84,273542.900,273552.680
06:51:47,G04,62.1,41.0,0.047,99.39,nan,46.51,257958.720,257969.160
06:51:47,G08,66.9,42.0,0.047,122.99,nan,48.26,44985.180,44998.100
06:51:48,G09,56.0,42.0,0.049,123.37,nan,68.99,46427.720,46440.680
06:51:48,G02,36.5,39.0,0.050,92.91,nan,74.69,273197.920,273207.680
06:51:48,G04,62.1,41.0,0.050,99.58,nan,46.59,258285.900,258296.360
06:51:48,G08,66.9,42.0,0.050,123.37,nan,48.40,45281.820,45294.780
