ts_utc,ws_total_connections,ws_station_connections,publish_count,publish_rows,publish_write_ms,publish_broadcast_ms,publish_total_ms,client_ws_status,client_ws_reconnects,client_pending_samples,client_pending_counts,client_render_ms,client_heap_mb,client_fps,client_last_seen
2026-03-07T01:20:00.216072+00:00,1,1,4,1,85.871,66.862,152.733,,,,,,,,
2026-03-07T01:20:04.300102+00:00,1,1,13,7,47.865,0.401,48.266,open,2,0,0,0.10000002384185791,225.7999725341797,0.606354596167856,2026-03-07T01:20:00.213012+00:00
2026-03-07T01:20:08.456444+00:00,1,1,21,13,49.287,1.152,50.439,open,0,22,0,0.699999988079071,104.62348365783691,4.338708511099863,2026-03-07T01:20:07.883280+00:00
2026-03-07T01:20:12.683947+00:00,1,1,27,8,119.716,3.144,122.86,open,0,22,0,0.699999988079071,104.62348365783691,4.338708511099863,2026-03-07T01:20:07.883280+00:00
2026-03-07T01:20:16.816038+00:00,1,1,35,7,414.366,8.267,422.633,open,0,0,0,0.19999998807907104,142.68620204925537,7.300454250486701,2026-03-07T01:20:13.046813+00:00
2026-03-07T01:20:20.886208+00:00,1,1,43,7,22.614,1.254,23.869,open,0,0,0,0.10000002384185791,160.44665336608887,4.11116592665681,2026-03-07T01:20:17.867815+00:00
2026-03-07T01:20:25.021615+00:00,1,1,51,14,36.344,1.933,38.277,open,0,0,0,0.10000002384185791,111.99992370605469,2.466902392895324,2026-03-07T01:20:23.780763+00:00
2026-03-07T01:20:29.315394+00:00,1,1,56,7,186.763,4.39,191.153,open,0,0,0,0.09999996423721313,124.48082542419434,6.565372350403297,2026-03-07T01:20:27.614875+00:00
2026-03-07T01:20:34.782258+00:00,1,1,65,7,129.618,1.8,131.419,open,0,7,0,0.10000002384185791,162.95757293701172,18.698946954039982,2026-03-07T01:20:34.284942+00:00
2026-03-07T01:20:39.285164+00:00,1,1,73,7,43.68,235.9,279.581,open,0,0,0,0.09999996423721313,209.2772092819214,12.792757331233954,2026-03-07T01:20:38.847405+00:00
2026-03-07T01:20:45.279419+00:00,1,1,83,7,157.708,4.268,161.976,open,0,0,0,0,251.28773498535156,4.287796929937404,2026-03-07T01:20:42.810355+00:00
2026-03-07T01:20:52.255126+00:00,1,1,93,7,367.975,32.441,400.416,open,0,0,0,0.19999998807907104,81.96288108825684,38.378271993701865,2026-03-07T01:20:47.825932+00:00
2026-03-07T01:20:59.016870+00:00,1,1,100,40,894.056,30.973,925.029,open,0,0,0,0.19999998807907104,81.96288108825684,38.378271993701865,2026-03-07T01:20:47.825932+00:00
2026-03-07T01:21:03.516415+00:00,1,1,108,7,69.289,214.354,283.643,open,0,0,0,0.19999998807907104,81.96288108825684,38.378271993701865,2026-03-07T01:20:47.825932+00:00
2026-03-07T01:21:07.664645+00:00,1,1,117,1,264.643,2.913,267.556,open,0,0,0,0.19999998807907104,81.96288108825684,38.378271993701865,2026-03-07T01:20:47.825932+00:00
2026-03-07T01:21:13.305392+00:00,1,1,124,7,137.096,72.589,209.685,open,0,0,0,0.09999996423721313,129.16414070129395,26.566958575223964,2026-03-07T01:21:09.500856+00:00
2026-03-07T01:21:17.963809+00:00,1,1,132,1,298.95,0.271,299.221,open,0,0,0,0.09999996423721313,129.16414070129395,26.566958575223964,2026-03-07T01:21:09.500856+00:00
2026-03-07T01:21:22.233960+00:00,1,1,140,1,539.441,5.132,544.573,open,0,0,0,0.09999996423721313,129.16414070129395,26.566958575223964,2026-03-07T01:21:09.500856+00:00
2026-03-07T01:21:26.394382+00:00,1,1,144,7,1662.095,10.096,1672.191,open,0,0,0,0.09999996423721313,129.16414070129395,26.566958575223964,2026-03-07T01:21:09.500856+00:00
